charger_id,timestamp,voltage,temperature,session_duration,error_code,charger_condition,days_since_maintenance,location,weather,failed
1,2026-04-02,231.5,62.9,18,1,M,165,Islamabad,Humid,1
2,2026-03-28,236.5,69.6,33,1,M,32,Karachi,Hot,0
3,2026-03-27,232.2,61.7,13,0,L,159,Islamabad,Hot,1
4,2026-03-29,225.2,29.7,63,1,M,91,Islamabad,Rain,0
5,2026-03-30,227.8,37.5,41,1,M,39,Karachi,Clear,0
6,2026-03-16,232.2,61.7,14,1,M,134,Karachi,Rain,1
7,2026-04-12,230.2,58.7,20,0,L,109,Islamabad,Hot,0
8,2026-03-18,232.5,55.1,100,1,M,100,Lahore,Rain,1
9,2026-04-04,237.8,70.2,100,1,M,26,Islamabad,Rain,1
10,2026-04-01,226.5,39.3,31,0,L,20,Islamabad,Hot,0
11,2026-04-12,226.0,38.1,21,0,L,180,Islamabad,Humid,1
12,2026-03-31,229.2,39.3,22,2,H,102,Islamabad,Hot,0
13,2026-03-24,232.5,56.9,17,1,M,92,Karachi,Humid,1
14,2026-04-10,227.8,32.7,13,1,M,180,Islamabad,Hot,1
15,2026-04-04,236.5,65.3,23,1,M,180,Lahore,Hot,0
16,2026-03-23,232.2,64.7,15,1,M,6,Karachi,Hot,1
17,2026-03-29,230.0,41.8,20,0,L,180,Lahore,Clear,0
18,2026-04-11,230.5,51.4,20,2,H,180,Lahore,Humid,1
19,2026-03-26,230.5,53.2,84,2,H,180,Lahore,Clear,0
20,2026-04-04,225.5,30.3,25,2,H,172,Lahore,Hot,0
21,2026-04-11,229.2,52.0,18,2,H,180,Karachi,Rain,1
22,2026-04-10,227.8,43.0,13,0,L,180,Karachi,Clear,1
23,2026-04-09,224.8,36.9,37,1,M,140,Lahore,Humid,0
24,2026-03-23,230.2,60.5,10,2,H,147,Lahore,Hot,1
25,2026-03-28,225.5,31.5,49,1,M,82,Karachi,Clear,0
26,2026-03-27,230.2,60.5,10,2,H,147,Karachi,Rain,1
28,2026-04-11,235.8,64.1,46,2,H,37,Islamabad,Humid,0
29,2026-04-09,226.2,36.9,22,1,M,19,Islamabad,Clear,1
30,2026-03-20,236.2,70.2,17,2,H,112,Islamabad,Rain,1
31,2026-04-02,230.8,56.9,58,0,L,30,Lahore,Rain,0
32,2026-03-18,232.2,59.9,13,0,L,85,Islamabad,Humid,1
33,2026-04-03,229.5,49.0,26,1,M,50,Lahore,Rain,0
34,2026-03-31,232.5,59.9,20,1,M,80,Lahore,Hot,0
35,2026-04-02,229.2,35.1,25,2,H,10,Islamabad,Rain,0
36,2026-03-17,234.8,61.7,19,1,M,69,Lahore,Hot,0
37,2026-04-12,231.8,57.5,100,1,M,21,Islamabad,Clear,1
38,2026-03-28,228.8,48.4,41,0,L,150,Islamabad,Hot,0
39,2026-03-31,228.2,34.5,33,1,M,38,Karachi,Hot,0
40,2026-03-27,229.2,53.2,14,1,M,113,Islamabad,Clear,1
41,2026-03-23,230.2,58.7,10,1,M,111,Karachi,Rain,1
42,2026-04-10,226.8,35.1,41,0,L,180,Islamabad,Hot,0
43,2026-03-15,230.2,60.5,10,2,H,147,Islamabad,Rain,1
44,2026-04-08,234.2,48.4,18,0,L,101,Karachi,Clear,0
45,2026-03-31,231.8,64.7,11,2,H,20,Karachi,Humid,1
46,2026-03-30,230.8,56.3,35,0,L,180,Islamabad,Rain,0
47,2026-04-01,230.5,58.7,25,1,M,86,Lahore,Rain,0
48,2026-03-16,231.0,41.8,35,1,M,176,Karachi,Humid,0
49,2026-03-28,240.0,75.0,31,0,L,180,Lahore,Humid,1
50,2026-04-05,225.2,29.7,20,0,L,180,Lahore,Clear,1
51,2026-04-06,227.5,32.1,26,1,M,27,Lahore,Rain,0
52,2026-04-10,232.2,56.3,41,2,H,59,Karachi,Rain,0
53,2026-03-31,238.8,72.0,43,1,M,107,Lahore,Clear,0
